date,min,max,median,q1,q3,stdev,count
2020-06-20T00:00:00.000Z,1,9.75,4.2,2,5.5,2.321,575
2020-06-21T00:00:00.000Z,0.9,3.47,1.7,1.48,1.98,0.384,566
2020-06-22T00:00:00.000Z,1,11.35,2.02,1.7,2.37,0.978,443
2020-06-23T00:00:00.000Z,1.2,4.3,2.31,2,2.9,0.658,470
2020-06-24T00:00:00.000Z,2.22,4.87,3.2,2.9,3.7,0.558,581
2020-06-25T00:00:00.000Z,1.27,7,3.55,2.66,4.22,1.048,556
2020-06-26T00:00:00.000Z,2.15,4.25,2.78,2.59,3.01,0.356,208
2020-06-29T00:00:00.000Z,0.9,5.09,4.57,1.5,4.87,1.705,17
2020-06-30T00:00:00.000Z,0.62,2.9,1.3,0.92,1.61,0.425,65
2020-07-01T00:00:00.000Z,1.05,2.27,1.74,1.57,1.87,0.249,44
2020-07-02T00:00:00.000Z,0.9,3.3,1.4,1.3,1.6,0.338,80
2020-07-03T00:00:00.000Z,0.8,1.87,1.2,1.02,1.43,0.298,16
2020-07-04T00:00:00.000Z,0.65,1.7,1.2,1.04,1.32,0.226,25
2020-07-05T00:00:00.000Z,0.7,3.5,2.72,2.4,3,0.854,21
2020-07-06T00:00:00.000Z,0.63,0.82,0.75,0.67,0.81,0.077,4
2020-07-07T00:00:00.000Z,0.23,1.17,0.67,0.4,0.82,0.253,61
2020-07-08T00:00:00.000Z,0.4,10.19,0.9,0.73,1.08,0.958,110
2020-07-09T00:00:00.000Z,0.65,0.65,0.65,0.65,0.65,0,1
2020-07-10T00:00:00.000Z,1.14,2.4,1.6,1.36,1.91,0.359,9
2020-07-11T00:00:00.000Z,1.14,1.25,1.2,1.14,1.25,0.041,3
2020-07-12T00:00:00.000Z,0.3,4.4,0.93,0.77,1.1,0.556,49
2020-07-13T00:00:00.000Z,0.7,2.33,1.04,0.83,1.32,0.35,36
2020-07-18T00:00:00.000Z,1.8,3.67,1.92,1.8,3.67,0.855,3
2020-07-20T00:00:00.000Z,0.9,1.62,1.12,0.95,1.2,0.235,6
2020-07-21T00:00:00.000Z,0.8,1.7,1.15,0.8,1.61,0.41,4
2020-07-22T00:00:00.000Z,0.2,0.6,0.4,0.3,0.48,0.104,13
2020-07-23T00:00:00.000Z,0.2,0.93,0.4,0.3,0.5,0.209,26
2020-07-24T00:00:00.000Z,0.2,8.69,0.48,0.35,0.62,1.427,46
2020-07-25T00:00:00.000Z,0.2,0.6,0.3,0.3,0.4,0.111,19
2020-07-26T00:00:00.000Z,1.23,2.2,1.74,1.42,2.12,0.348,6
2020-07-27T00:00:00.000Z,1.2,5.6,4.15,2.38,4.72,1.498,12
2020-07-28T00:00:00.000Z,2.97,11.15,4.8,3.36,9.02,2.932,5
2020-07-29T00:00:00.000Z,0.7,3.2,2.22,0.77,3.12,1,6
2020-07-30T00:00:00.000Z,1.3,5.77,2.9,2.54,3.25,0.704,77
2020-07-31T00:00:00.000Z,1.17,3.15,2,1.69,2.38,0.505,44
2020-08-03T00:00:00.000Z,0.6,1.55,0.9,0.8,1.1,0.207,47
2020-08-04T00:00:00.000Z,0.2,3.92,0.82,0.6,1.05,0.487,251
2020-08-05T00:00:00.000Z,0.6,7.97,1.23,1,1.45,0.61,306
2020-08-06T00:00:00.000Z,1.05,9.73,2.04,1.65,2.7,0.963,202
2020-08-07T00:00:00.000Z,0.56,16.48,2.75,1.4,5.07,2.354,182
2020-08-08T00:00:00.000Z,0.9,4.68,1.7,1.42,3.3,1.034,204
2020-08-09T00:00:00.000Z,0.6,6.28,1.85,1.35,4.32,1.647,250
2020-08-10T00:00:00.000Z,0.4,3.9,1.02,0.8,1.27,0.4,215
2020-08-11T00:00:00.000Z,0.5,5.37,1.37,1.02,1.65,0.554,320
2020-08-12T00:00:00.000Z,0.93,19.27,1.55,1.35,1.8,1.197,470
2020-08-13T00:00:00.000Z,1.65,14.18,3.5,2.58,7.41,2.699,189
2020-08-14T00:00:00.000Z,2.42,10.65,5.35,4.3,8.19,2.264,98
2020-08-15T00:00:00.000Z,2.5,7.32,5.28,4.59,5.65,0.969,215
2020-08-16T00:00:00.000Z,0.6,11.02,1.27,0.93,6.93,3.01,231
2020-08-17T00:00:00.000Z,1.02,9.88,3.12,2.27,5.43,1.74,399
2020-08-18T00:00:00.000Z,2.15,10.98,5.63,4.38,7.55,2.163,160
2020-08-19T00:00:00.000Z,2,16.23,3.1,2.7,4,3.113,302
2020-08-20T00:00:00.000Z,1.23,7.78,2.92,2.37,3.5,1.27,337
2020-08-21T00:00:00.000Z,2.04,15.35,4.87,3.42,7.53,3.457,325
2020-08-22T00:00:00.000Z,1.12,22.5,3.92,2.5,5.22,2.18,314
2020-08-23T00:00:00.000Z,0.88,4.9,1.67,1.4,2.08,0.51,412
2020-08-24T00:00:00.000Z,0.3,5.35,1.14,0.8,2.04,0.805,391
2020-08-25T00:00:00.000Z,0.4,4.22,0.8,0.7,1.08,0.48,365
2020-08-26T00:00:00.000Z,0.28,4.3,0.7,0.56,1,0.438,362
2020-08-27T00:00:00.000Z,0.37,4.53,0.7,0.55,1.08,0.581,210
2020-08-28T00:00:00.000Z,0.3,5.45,0.8,0.6,1.48,0.804,379
2020-08-29T00:00:00.000Z,0.5,5.95,1.44,1.08,1.77,0.533,464
2020-08-30T00:00:00.000Z,0.5,7.1,1.61,1.1,2.8,1.422,466
2020-08-31T00:00:00.000Z,0.27,4.23,0.87,0.6,1.3,0.718,465
2020-09-01T00:00:00.000Z,0.8,4.63,2.52,1.41,3.27,0.973,233
2020-09-02T00:00:00.000Z,0.8,12.67,2.54,1.52,3.16,1.428,236
2020-09-03T00:00:00.000Z,2.47,12.63,6.59,4.93,9.75,2.597,272
2020-09-04T00:00:00.000Z,1.12,93.27,3.15,1.9,5,11.392,469
2020-09-05T00:00:00.000Z,0.8,5.97,1.87,1.5,2.6,1.008,452
2020-09-06T00:00:00.000Z,0.5,3.13,1.17,0.9,1.57,0.464,447
2020-09-07T00:00:00.000Z,0.3,7.27,1,0.7,1.57,1.071,423
2020-09-08T00:00:00.000Z,0.4,5.28,1.1,0.8,1.6,0.674,372
2020-09-09T00:00:00.000Z,0.2,6.07,2.8,2.1,3.45,1.105,317
2020-09-10T00:00:00.000Z,0.2,1.93,0.5,0.37,0.83,0.355,192
2020-09-11T00:00:00.000Z,0.3,5.68,1.1,0.7,1.61,0.782,193
2020-09-12T00:00:00.000Z,2.22,6.93,3.34,3.05,4.19,0.815,92
2020-09-13T00:00:00.000Z,0.6,4.09,1.35,1.13,2.52,0.859,45
2020-09-14T00:00:00.000Z,0.56,4.8,2.4,1.27,2.87,0.925,138
2020-09-15T00:00:00.000Z,2.7,7.82,5.7,5,6.12,1.11,97
2020-09-16T00:00:00.000Z,0.3,0.67,0.4,0.4,0.47,0.099,30
2020-09-17T00:00:00.000Z,0.3,1.25,0.6,0.49,0.8,0.253,48
2020-09-18T00:00:00.000Z,0.5,3.67,1.1,0.8,1.44,0.585,204
2020-09-19T00:00:00.000Z,0.56,6.15,1.02,0.9,1.7,0.841,162
2020-09-20T00:00:00.000Z,0.88,4,2,1.59,2.5,0.689,153
2020-09-21T00:00:00.000Z,1.33,5.07,2.23,1.91,3.14,0.818,128
2020-09-22T00:00:00.000Z,0.9,17.93,2.2,1.8,5.05,5.249,325
2020-09-23T00:00:00.000Z,4,56.55,11.99,5.86,17.68,13.287,408
2020-09-24T00:00:00.000Z,6.47,69.23,24.85,14.17,42.8,17.616,247
2020-09-25T00:00:00.000Z,1.77,18.97,5.27,4.4,6.37,3.253,187
2020-09-26T00:00:00.000Z,10.15,24.48,19.27,15.85,22,3.709,135
2020-09-27T00:00:00.000Z,4.28,31.03,19.76,18,27.1,6.471,92
2020-09-28T00:00:00.000Z,5.97,25.9,18.6,6.78,22,7.441,127
2020-09-29T00:00:00.000Z,2.04,15.27,6.92,3.5,9.36,3.457,150
2020-09-30T00:00:00.000Z,1.55,19.97,11.77,7.9,13.93,4.757,187
2020-10-01T00:00:00.000Z,3.53,25.23,6.35,4.83,9.52,3.679,170
2020-10-02T00:00:00.000Z,7.2,20.13,14.3,12.87,15.48,2.672,135
2020-10-03T00:00:00.000Z,8.8,25.27,16.5,11.79,20.45,4.547,148
2020-10-04T00:00:00.000Z,10.02,35.92,21.33,17.64,27.77,5.976,177
2020-10-05T00:00:00.000Z,0.6,17.52,3.57,1.3,6.48,3.633,236
2020-10-06T00:00:00.000Z,1.6,65.77,4.33,2.99,13.38,15.324,205
2020-10-07T00:00:00.000Z,1.1,7.93,2.9,2.1,4.15,1.497,230
2020-10-08T00:00:00.000Z,0.9,7.3,1.87,1.49,3.14,1.366,241
2020-10-09T00:00:00.000Z,0.5,5.17,1.83,1.3,2.4,1.069,334
2020-10-10T00:00:00.000Z,0.67,19.37,2.2,1.7,3.26,1.457,417
2020-10-11T00:00:00.000Z,0.6,4.87,1.23,1,1.5,0.455,419
2020-10-12T00:00:00.000Z,0.2,3.07,0.73,0.6,1,0.397,282
2020-10-13T00:00:00.000Z,0.4,2.13,0.77,0.6,0.9,0.241,369
2020-10-14T00:00:00.000Z,0.2,1.5,0.7,0.6,0.87,0.222,313
2020-10-15T00:00:00.000Z,0.3,4.23,0.7,0.6,0.9,0.308,406
2020-10-16T00:00:00.000Z,0.27,17.63,0.8,0.6,1.97,2.504,422
2020-10-17T00:00:00.000Z,0.33,28.7,1.1,0.8,1.63,1.528,428
2020-10-18T00:00:00.000Z,0.2,7,0.53,0.5,0.7,0.368,431
2020-10-19T00:00:00.000Z,0.2,4.07,0.6,0.43,0.9,0.432,407
2020-10-20T00:00:00.000Z,0.47,13.23,1.67,1.2,2.5,2.458,336
2020-10-21T00:00:00.000Z,8.93,30.7,17.8,13.73,20.77,4.308,391
2020-10-22T00:00:00.000Z,0.3,15.7,3.3,1.7,5.81,3.896,365
2020-10-23T00:00:00.000Z,0.3,10.07,1.6,1.12,3.1,1.645,170
2020-10-24T00:00:00.000Z,1,7.83,3.4,2.4,4.4,1.19,127
2020-10-25T00:00:00.000Z,0.7,13.6,4,2.27,7.3,3.096,147
2020-10-26T00:00:00.000Z,1.1,37.7,8.18,2.9,28.22,12.719,184
2020-10-27T00:00:00.000Z,1.17,36.13,4.5,2.63,7.57,10.075,380
2020-10-28T00:00:00.000Z,1.97,10,3.8,3.07,5.6,1.742,461
2020-10-29T00:00:00.000Z,2.93,21.57,7.1,5.4,10.02,2.81,447
2020-10-30T00:00:00.000Z,5.4,24.4,10.3,8.47,11.97,2.681,474
2020-10-31T00:00:00.000Z,2.4,18,6.1,4.09,7.73,3.449,483
2020-11-01T00:00:00.000Z,0.93,18.8,7.94,2.89,13.47,5.399,484
2020-11-02T00:00:00.000Z,0.4,19.97,4.57,1.9,7.1,4.889,463
2020-11-03T00:00:00.000Z,0.4,5.17,1.63,1.2,2.1,0.687,458
2020-11-04T00:00:00.000Z,0.9,4.73,2.72,2.29,3.15,0.682,356
2020-11-05T00:00:00.000Z,0.47,4.7,1.3,1,1.97,0.739,350
2020-11-06T00:00:00.000Z,0.4,6.37,1.2,0.8,2.4,1.056,327
2020-11-07T00:00:00.000Z,0.93,5.53,2.5,2.02,3.17,0.916,399
2020-11-08T00:00:00.000Z,0.6,9.86,1.6,1.1,2.52,1.517,346
