date,min,max,median,q1,q3,stdev,count
2021-02-27T00:00:00.000Z,0,6.27,0.8,0.2,1.17,0.785,266
2021-02-28T00:00:00.000Z,0.56,6.67,1.6,0.87,2.62,1.134,265
2021-03-01T00:00:00.000Z,0.5,4,1.6,1.27,1.97,0.495,211
2021-03-02T00:00:00.000Z,0.4,9.19,1.72,0.9,2.83,1.685,202
2021-03-03T00:00:00.000Z,0.47,11.13,1.97,1.33,2.6,1.155,223
2021-03-04T00:00:00.000Z,0.27,35.83,1.49,0.97,2,2.722,230
2021-03-05T00:00:00.000Z,0.3,9.67,1.1,0.73,1.82,1.126,236
2021-03-06T00:00:00.000Z,0.1,1.7,0.5,0.4,0.7,0.269,236
2021-03-07T00:00:00.000Z,0.1,3.13,0.7,0.5,0.9,0.443,218
2021-03-08T00:00:00.000Z,0.53,12.67,1.53,1.1,2,1.29,160
2021-03-09T00:00:00.000Z,0.43,4.97,1.2,0.87,2.25,1.087,241
2021-03-10T00:00:00.000Z,1.5,10.3,2.9,2.5,3.43,0.874,211
2021-03-11T00:00:00.000Z,1,34.27,11.09,2.27,17.37,9.39,234
2021-03-12T00:00:00.000Z,0.37,28.23,2.77,1.47,18.23,9.426,243
2021-03-13T00:00:00.000Z,0.9,6.8,2.4,1.93,3.63,1.221,251
2021-03-14T00:00:00.000Z,0.97,7.17,2.43,1.87,3.09,0.936,245
2021-03-15T00:00:00.000Z,0.9,14.7,3.37,2.29,5.44,2.374,224
2021-03-16T00:00:00.000Z,0.9,14.47,3.35,2,9,3.893,224
2021-03-17T00:00:00.000Z,1.03,9.63,2.27,1.73,2.73,0.891,250
2021-03-18T00:00:00.000Z,0.4,13.63,1.6,1.07,2.02,1.088,239
2021-03-19T00:00:00.000Z,0.33,7.03,1.3,0.93,1.87,0.825,233
2021-03-20T00:00:00.000Z,0.43,3.77,1.3,0.85,1.83,0.616,253
2021-03-21T00:00:00.000Z,0.1,2.06,0.63,0.4,0.9,0.414,223
2021-03-22T00:00:00.000Z,0,4.13,0.85,0.6,1.14,0.64,232
2021-03-23T00:00:00.000Z,0.5,7.83,1.21,0.9,1.9,1.02,318
2021-03-24T00:00:00.000Z,1.9,8.3,4.25,3.8,4.79,1.008,244
2021-03-25T00:00:00.000Z,1,12.4,2.33,1.83,3.03,2.039,234
2021-03-26T00:00:00.000Z,1.87,41.8,8.24,6.07,13.67,6.988,266
2021-03-27T00:00:00.000Z,2.8,52.5,29.6,20.07,37.67,11.479,274
2021-03-28T00:00:00.000Z,0.1,33.36,1.7,0.49,2.44,6.007,193
2021-03-29T00:00:00.000Z,0.2,110.93,1.45,0.7,4.5,9.749,198
2021-03-30T00:00:00.000Z,0.7,5.09,2.02,1.43,2.42,0.615,220
2021-03-31T00:00:00.000Z,0.5,5.3,1.57,1.17,3.01,1.245,197
2021-04-01T00:00:00.000Z,0.17,3.27,0.73,0.56,1.09,0.497,180
